ID,章,章タイトル,節,節タイトル,問題番号,難易度,文法事項,Focus,日本語,英文（穴埋め）,ヒント,英文（完全）,答え,Tip（思考誘導）,解説,語句・熟語,注意・補足,Words to Use
6,5章,不定詞,-,-,105,基本,-,F 085,元気そうで何よりです。,( )( )( )( ) you looking so well.,-,I'm glad to see you looking so well.,I'm / glad / to / see,「あなたがとても元気そうに見えるのを見て(私はうれしい)」と表現する。,感情の原因「~して･･･」を表す不定詞の副詞的用法。,"be glad to do 「~してうれしい」, see A doing 「Aが〜しているのを見る」",-,see / wake up / realize / post / leave
7,5章,不定詞,-,-,106,基本,-,F 085,ハンバーガー1個のためにこんなに長く待つなんて、私たちどうかしているね。,We must ( )( )( )( ) this long for a burger.,-,We must be crazy to wait this long for a burger.,be / crazy / to / wait,「どうかしているね→ 正気ではないに違いない」と表現する。,判断の根拠 「~するなんて･･･、~するとは･･･」を表す不定詞の副詞的用法。,"be crazy to do 「~するなんてどうかしている」, wait (this) long 「(こんなに)長く待つ」",-,see / wake up / realize / post / leave
8,5章,不定詞,-,-,107,基本,-,F 085,目が覚めると、道向かいの公園はすっかり雪に覆われていた。,I ( )( )( )(f) that snow had completely covered the park across the street.,f,I woke up to find that snow had completely covered the park across the street.,woke / up / to / find,「目が覚めて、その結果･･･ということがわかる」を表す表現は?,結果「･･･して(その結果)~」を表す不定詞の副詞的用法。,wake up [awake] to find ~「目を覚ますと~に気づく」,-,see / wake up / realize / post / leave
9,5章,不定詞,-,-,108,基本,-,F 085,学校に急いで行ったが、休日だと気づいただけだった。,"I rushed to school, ( )( )( ) it was a holiday.",-,"I rushed to school, only to realize it was a holiday.",only / to / realize,「結局･･･ということがわかっただけだった」と表現する。,結果を表す不定詞の副詞的用法。,"..., only to do [･･･したが、結局~しただけだった」, rush to A 「Aへ急いで行く」",-,see / wake up / realize / post / leave
10,5章,不定詞,-,-,109,基本,-,F 088,ネット上に個人情報を投稿しないように気をつけなさい。,Be careful ( )( )(p ) personal information online.,p,Be careful not to post personal information online.,not / to / post,不定詞の否定形をつくるときの not の位置は?,"不定詞の否定形は、不定詞の直前に not や never を置いて, not to do や never to do で表す。","post 「~を投稿する」, be careful not to do 「~しないように気をつける」",not to do 単独で「目的」の意味の「~しないように」は表せない。,see / wake up / realize / post / leave
11,5章,不定詞,-,-,110,基本,-,F 091,傘をどこかに置き忘れてきたようだ。,I seem ( )( )(l) my umbrella somewhere.,l,I seem to have left my umbrella somewhere.,to / have / left,「~するようだ」を表す表現は? 「~ようだ」は「現在」のことで、「置き忘れてきた = 置き忘れた」のは「過去」のこと。,不定詞は完了形にすることができる。to have+過去分詞は完了不定詞と呼ばれ、述語動詞よりも前の動作・出来事を表す。,somewhere 「どこかで、どこかに」,-,see / wake up / realize / post / leave
12,5章,不定詞,-,-,111,発展,-,F 095,将来の仕事はまだ決めていませんが、近いうちに決めたいと思っています。,"I haven't decided on my future career yet, but ( )(h)( ) soon.",h,"I haven't decided on my future career yet, but I hope to soon.",I / hope / to,不定詞のto の後の動詞句の繰り返しを避ける表現方法は?,不定詞のto の後に、前に出てきたものと同じ動詞(句)がくる場合、繰り返しを避けるために to だけを残して動詞以下を省略することがある。このto を代不定詞と呼ぶ。,hope to do 「~することを望む [願う]」,-,hope / children / kind / thoughtless
13,5章,不定詞,-,-,112,基本,-,F 090,その男性は何を着ようか考えている。,The man is thinking about ( )( )( ).,-,The man is thinking about what to wear.,what / to / wear,「何を着ようか」は「何を着るべきか」と読みかえる。,疑問詞+to不定詞は名詞句となり、文の中で主語・目的語・補語になる。この文では前置詞 aboutの目的語になっている。,what to do 「何を〜すべきか」,-,hope / children / kind / thoughtless
14,5章,不定詞,-,-,113,基本,-,F 090,ほとんどの生徒はコンピューターの使い方を知っている。,Most students know ( )( )( ) computers.,-,Most students know how to use computers.,how / to / use,「~する方法、~の仕方」を表す表現は?,不定詞句の how to use computers が knowの目的語。,how to do 「どのように〜すべきか、~する方法」,-,hope / children / kind / thoughtless
15,5章,不定詞,-,-,114-1,基本,-,F 086,子どもがスマートフォンを持つのはいい考えだ。,It is a good idea ( )( )( )( ) a smartphone.,-,It is a good idea for children to have a smartphone.,for / children / to / have,形式主語の文。不定詞の意味上の主語はどのように表す?,不定詞は動詞の性質を持っており、その動作の主語にあたるものを不定詞の意味上の主語と呼ぶ。意味上の主語を明示する場合は、for+名詞 [代名詞]を不定詞の直前に置く。,-,-,hope / children / kind / thoughtless
16,5章,不定詞,-,-,114-2,基本,-,F 086,インターンシップとは学生が会社で働く機会のことだ。,An internship is (a student/ for / an opportunity/ to / work) for a company.,-,An internship is an opportunity for a student to work for a company.,an opportunity / for / a student / to / work,「Aが〜する機会」の「Aが〜する」を不定詞で表現するには?,for A to do「Aが~する」が直前の名詞 (an opportunity)を修飾。,opportunity for A to do 「Aが〜する機会」,-,hope / children / kind / thoughtless
17,5章,不定詞,-,-,115-1,基本,-,F 086,親切にも友達が試験前にノートを貸してくれた。,It was ( )( )( ) friend to lend me her notebook before the exam.,-,It was kind of my friend to lend me her notebook before the exam.,kind / of / my,〈It is+人の性質や人柄などを表す形容詞〉の後に不定詞を続ける場合、意味上の主語はどう表す?,It is の後に人の性質や人柄などを表す形容詞がくる場合、of+名詞[代名詞] で不定詞の意味上の主語を表す。,lend A B 「AにBを貸す」,-,hope / children / kind / thoughtless
18,5章,不定詞,-,-,115-2,基本,-,-,身体障害者用駐車場に駐車するなんて、その運転手は配慮に欠けている。,It is (t) ( ) the ( ) to park in the disabled parking spot.,t,It is thoughtless of the driver to park in the disabled parking spot.,thoughtless / of / driver,「配慮に欠けている」は人の性質を表す形容詞だから、意味上の主語はどう表す?,the driver が不定詞の意味上の主語。thoughtless は人の性質を表す形容詞なのでofを使う。,park①名詞「公園」②動詞「駐車する」、disabled「身体障害の」,-,hope / children / kind / thoughtless
19,5章,不定詞,-,-,116-1,基本,-,F 087,日本の企業は従業員に忠誠心を求める。,Japanese companies (their / loyal / be / employees / want / to).,-,Japanese companies want their employees to be loyal.,want / their / employees / to / be / loyal,「従業員に忠誠心を求める→従業員に忠実でいてほしい」と表現する。,SVO+to不定詞では、○とto不定詞の間に意味上のSV関係(○が〜する)が隠れており、「SはOが〜することをVする」という意味になる。,want A to do 「Aに〜してほしい」,-,join / laugh / waiter / bring
20,5章,不定詞,-,-,116-2,基本,-,-,食堂で私たちと一緒に昼食をいかがでしょうか。,We (join/you/to/like/us/would) for lunch in the cafeteria.,-,We would like you to join us for lunch in the cafeteria.,would / like / you / to / join / us,「一緒にいかがでしょうか→私たちに加わってほしいのですが」と表現する。,would like A to do 「Aに〜してほしいのですが」。want A to doよりも控えめで丁寧な表現。,-,-,join / laugh / waiter / bring
